frame_id,wall_start,relative_start_s,relative_end_s,duration_ms,idle_before_ms,baudrate,byte_count,class,confidence,hex,ascii
103,2026-05-20T12:05:43,27.633145900,27.633145900,0.000000,2.624900,9600,1,tiny_reply_or_noise,0.350,9E,.
104,2026-05-20T12:05:43,27.633766100,27.633766100,0.000000,0.620200,9600,1,tiny_reply_or_noise,0.350,60,`
105,2026-05-20T12:05:43,27.638225000,27.638225000,0.000000,4.458900,9600,1,tiny_reply_or_noise,0.350,FE,.
106,2026-05-20T12:05:43,27.639747300,27.639747300,0.000000,1.522300,9600,1,tiny_reply_or_noise,0.350,86,.
107,2026-05-20T12:05:43,27.640524700,27.640524700,0.000000,0.777400,9600,1,tiny_reply_or_noise,0.350,06,.
108,2026-05-20T12:05:43,27.641151700,27.641151700,0.000000,0.627000,9600,1,tiny_reply_or_noise,0.350,7E,~
109,2026-05-20T12:05:43,27.644393700,27.644393700,0.000000,3.242000,9600,1,tiny_reply_or_noise,0.350,7E,~
110,2026-05-20T12:05:43,27.645914600,27.645914600,0.000000,1.520900,9600,1,tiny_reply_or_noise,0.350,06,.
111,2026-05-20T12:05:43,27.647327000,27.647327000,0.000000,1.412400,9600,1,tiny_reply_or_noise,0.350,9E,.
112,2026-05-20T12:05:43,27.647998200,27.647998200,0.000000,0.671200,9600,1,tiny_reply_or_noise,0.350,98,.
113,2026-05-20T12:05:43,27.648662700,27.648662700,0.000000,0.664500,9600,1,tiny_reply_or_noise,0.350,7E,~
114,2026-05-20T12:05:43,27.649285400,27.649285400,0.000000,0.622700,9600,1,tiny_reply_or_noise,0.350,E6,.
115,2026-05-20T12:05:43,27.649849400,27.649849400,0.000000,0.564000,9600,1,tiny_reply_or_noise,0.350,78,x
116,2026-05-20T12:05:43,27.650445900,27.650445900,0.000000,0.596500,9600,1,tiny_reply_or_noise,0.350,00,.
117,2026-05-20T12:05:43,27.651114300,27.651114300,0.000000,0.668400,9600,1,tiny_reply_or_noise,0.350,00,.
